Metric,Dec.  2020,Dec.  2019,Dec.  2018,Company,cik_str,0,1,2,Sep.  2020,Jun.  2020,Mar.  2020,Sep.  2019,Jun.  2019,Mar.  2019,Jul.  2021,Jul.  2020,Jul.  2019,Jun.  2021,Oct.  2021,Oct.  2020,Jan.  2021,Sep.  2021,Oct.  2019,Mar.  2021,Nov.  2020,Aug.  2020,Feb.  2020,Nov.  2019,Aug.  2019,May  2020,May  2019,Feb.  2019,Jan.  2020,Jun.  2018,May  2021,Nov.  2018,Apr.  2021,Apr.  2020,Apr.  2019,Jan.  2019,"Dec.  2020 
Trade_Names 
metropolitan_area 
segment","Dec.  2020 
USD ($) 
$ ","Dec.  2019 
USD ($) 
$ ","Dec.  2018 
USD ($) 
$ ",3,"Mar.  2021 
USD ($)",Sep.  2018,"Dec.  2020 
USD ($) 
mi","Sep.  2020 
USD ($)","Jun.  2020 
USD ($)","Mar.  2020 
USD ($)","Dec.  2019 
USD ($)","Sep.  2019 
USD ($)","Jun.  2019 
USD ($)","Mar.  2019 
USD ($)","Dec.  2020 
USD ($) 
segment 
mi","Dec.  2018 
USD ($)",Aug.  2021,Feb.  2021
Revenues,4910200000.0,2451900000.0,2689800000.0,Ingersoll Rand Inc. (Filer) , 0001699150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saleofsubsidiary-asapercent,-30.4,0.2,1.3,Ingersoll Rand Inc. (Filer) , 0001699150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenues,4910200000.0,2451900000.0,2689800000.0,Ingersoll Rand Inc. (Filer) , 0001699150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,904400000.0,738200000.0,563800000.0,INSULET CORP (Filer) , 0001145197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unrealized-lossgainonavailable-for-salesecuritiesnetoftax,-100000.0,1100000.0,-200000.0,INSULET CORP (Filer) , 0001145197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unrealized-lossgainonavailable-for-salesecuritiesnetoftax,-100000.0,1100000.0,-200000.0,INSULET CORP (Filer) , 0001145197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netrevenue,77867000000,71965000000,70848000000,INTEL CORP (Filer) , 0000050863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netrevenue,77867000000,71965000000,70848000000,INTEL CORP (Filer) , 0000050863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netrevenue,77867000000,71965000000,70848000000,INTEL CORP (Filer) , 0000050863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Increase-reductioninrateresultingfrom:ResearchandDevelopmenttaxcredits,-2100000.0,-2300000.0,-2700000.0,INTEL CORP (Filer) , 0000050863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totalrevenues,8244000000,6547000000,6276000000,"Intercontinental Exchange, Inc. (Filer) ", 0001571949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totalrevenues,8244000000,6547000000,6276000000,"Intercontinental Exchange, Inc. (Filer) ", 0001571949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totalrevenues,8244000000,6547000000,6276000000,"Intercontinental Exchange, Inc. (Filer) ", 0001571949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totalrevenues,8244000000,6547000000,6276000000,"Intercontinental Exchange, Inc. (Filer) ", 0001571949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
